('bin', 61, 'DS', 0.0003234598995980472, 'H2O', 0.02899458600008051, 'Na', 0.002641589180050719, 'Br', 0.0)
('bin', 62, 'DS', 0.0002920124093593482, 'H2O', 0.030063800668196278, 'Na', 0.0018868494143219421, 'Br', 0.0)
('bin', 63, 'DS', 9.434247071609711e-05, 'H2O', 0.03415197439922715, 'Na', 0.002075534355754136, 'Br', 0.0)
('bin', 64, 'DS', 3.5939988844227464e-05, 'H2O', 0.03301986475063399, 'Na', 0.0007547397657287769, 'Br', 0.0)
('bin', 65, 'DS', 0.0, 'H2O', 0.03402618443827236, 'Na', 0.00018868494143219422, 'Br', 0.0)
('bin', 66, 'DS', 4.492498605528433e-06, 'H2O', 0.033334339653020975, 'Na', 0.00018868494143219422, 'Br', 0.00018868494143219422)
('bin', 67, 'DS', 0.0, 'H2O', 0.03327144467254358, 'Na', 0.0007547397657287769, 'Br', 0.00037736988286438843)
('bin', 68, 'DS', 0.0, 'H2O', 0.03478092420400113, 'Na', 0.0005660548242965826, 'Br', 0.00018868494143219422)
('bin', 69, 'DS', 0.0, 'H2O', 0.03308275973111138, 'Na', 0.0, 'Br', 0.0)
('bin', 70, 'DS', 0.0, 'H2O', 0.032139335023950416, 'Na', 0.0, 'Br', 0.0)
('bin', 71, 'DS', 0.0, 'H2O', 0.03534697902829772, 'Na', 0.00018868494143219422, 'Br', 0.00018868494143219422)
('bin', 72, 'DS', 0.0, 'H2O', 0.03346012961397577, 'Na', 0.00018868494143219422, 'Br', 0.00018868494143219422)
('bin', 73, 'DS', 0.0, 'H2O', 0.03308275973111138, 'Na', 0.0007547397657287769, 'Br', 0.0)
('bin', 74, 'DS', 0.0, 'H2O', 0.03352302459445317, 'Na', 0.00018868494143219422, 'Br', 0.00037736988286438843)
('bin', 75, 'DS', 0.0, 'H2O', 0.0359130338525943, 'Na', 0.00037736988286438843, 'Br', 0.0)
('bin', 76, 'DS', 0.0, 'H2O', 0.03239091494586001, 'Na', 0.00037736988286438843, 'Br', 0.0)
('bin', 77, 'DS', 0.0, 'H2O', 0.031887755102040824, 'Na', 0.0, 'Br', 0.00018868494143219422)
('bin', 78, 'DS', 0.0, 'H2O', 0.03320854969206618, 'Na', 0.0007547397657287769, 'Br', 0.00018868494143219422)
('bin', 79, 'DS', 0.0, 'H2O', 0.032139335023950416, 'Na', 0.00018868494143219422, 'Br', 0.0)
