('bin', 60, 'DS', 0.000642427300590566, 'H2O', 0.024340357444753054, 'Na', 0.0007547397657287769, 'Br', 0.00018868494143219422)
('bin', 61, 'DS', 0.0005435923312689404, 'H2O', 0.02811405627339694, 'Na', 0.0005660548242965826, 'Br', 0.0)
('bin', 62, 'DS', 0.0003099824037814619, 'H2O', 0.029560640824377094, 'Na', 0.0, 'Br', 0.00018868494143219422)
('bin', 63, 'DS', 0.00026056491912064913, 'H2O', 0.03396328945779496, 'Na', 0.0007547397657287769, 'Br', 0.00018868494143219422)
('bin', 64, 'DS', 0.0001078199665326824, 'H2O', 0.03327144467254358, 'Na', 0.0005660548242965826, 'Br', 0.0)
('bin', 65, 'DS', 7.187997768845493e-05, 'H2O', 0.037108038481664864, 'Na', 0.0005660548242965826, 'Br', 0.0)
('bin', 66, 'DS', 1.7969994422113732e-05, 'H2O', 0.03534697902829772, 'Na', 0.00037736988286438843, 'Br', 0.00018868494143219422)
('bin', 67, 'DS', 2.2462493027642166e-05, 'H2O', 0.03396328945779496, 'Na', 0.00037736988286438843, 'Br', 0.0)
('bin', 68, 'DS', 1.34774958165853e-05, 'H2O', 0.03698224852071007, 'Na', 0.0009434247071609711, 'Br', 0.0)
('bin', 69, 'DS', 4.492498605528433e-06, 'H2O', 0.03622750875498129, 'Na', 0.00037736988286438843, 'Br', 0.00018868494143219422)
('bin', 70, 'DS', 0.0, 'H2O', 0.033585919574930574, 'Na', 0.0005660548242965826, 'Br', 0.0)
('bin', 71, 'DS', 0.0, 'H2O', 0.034843819184478535, 'Na', 0.00037736988286438843, 'Br', 0.0)
('bin', 72, 'DS', 0.0, 'H2O', 0.03327144467254358, 'Na', 0.0007547397657287769, 'Br', 0.0005660548242965826)
('bin', 73, 'DS', 0.0, 'H2O', 0.03446644930161415, 'Na', 0.0005660548242965826, 'Br', 0.00037736988286438843)
('bin', 74, 'DS', 0.0, 'H2O', 0.03446644930161415, 'Na', 0.0009434247071609711, 'Br', 0.00018868494143219422)
('bin', 75, 'DS', 0.0, 'H2O', 0.033774604516362765, 'Na', 0.00018868494143219422, 'Br', 0.0)
('bin', 76, 'DS', 0.0, 'H2O', 0.03396328945779496, 'Na', 0.0007547397657287769, 'Br', 0.00018868494143219422)
('bin', 77, 'DS', 0.0, 'H2O', 0.03742251338405185, 'Na', 0.0009434247071609711, 'Br', 0.00018868494143219422)
('bin', 78, 'DS', 0.0, 'H2O', 0.031887755102040824, 'Na', 0.00018868494143219422, 'Br', 0.0)
('bin', 79, 'DS', 0.0, 'H2O', 0.034214869379704554, 'Na', 0.00018868494143219422, 'Br', 0.00018868494143219422)
('bin', 80, 'DS', 0.0, 'H2O', 0.033334339653020975, 'Na', 0.0005660548242965826, 'Br', 0.0)
('bin', 81, 'DS', 0.0, 'H2O', 0.034403554321136745, 'Na', 0.0009434247071609711, 'Br', 0.00018868494143219422)
('bin', 82, 'DS', 0.0, 'H2O', 0.03396328945779496, 'Na', 0.00037736988286438843, 'Br', 0.0)
('bin', 83, 'DS', 0.0, 'H2O', 0.031133015336312044, 'Na', 0.0013207945900253594, 'Br', 0.0)
('bin', 84, 'DS', 0.0, 'H2O', 0.03396328945779496, 'Na', 0.0007547397657287769, 'Br', 0.0)
('bin', 85, 'DS', 0.0, 'H2O', 0.03459223926256894, 'Na', 0.0007547397657287769, 'Br', 0.00018868494143219422)
('bin', 86, 'DS', 0.0, 'H2O', 0.03094433039487985, 'Na', 0.0011321096485931651, 'Br', 0.00018868494143219422)
('bin', 87, 'DS', 0.0, 'H2O', 0.03371170953588537, 'Na', 0.0018868494143219421, 'Br', 0.0)
('bin', 88, 'DS', 0.0, 'H2O', 0.03176196514108603, 'Na', 0.00018868494143219422, 'Br', 0.0)
('bin', 89, 'DS', 0.0, 'H2O', 0.03704514350118746, 'Na', 0.0005660548242965826, 'Br', 0.0)
('bin', 90, 'DS', 0.0, 'H2O', 0.03226512498490521, 'Na', 0.00037736988286438843, 'Br', 0.00018868494143219422)
('bin', 91, 'DS', 0.0, 'H2O', 0.03295696977015659, 'Na', 0.0009434247071609711, 'Br', 0.0)
('bin', 92, 'DS', 0.0, 'H2O', 0.03339723463349838, 'Na', 0.0007547397657287769, 'Br', 0.00037736988286438843)
('bin', 93, 'DS', 0.0, 'H2O', 0.031510385219176436, 'Na', 0.0009434247071609711, 'Br', 0.0)
('bin', 94, 'DS', 0.0, 'H2O', 0.03478092420400113, 'Na', 0.0007547397657287769, 'Br', 0.0)
('bin', 95, 'DS', 0.0, 'H2O', 0.03201354506299562, 'Na', 0.0007547397657287769, 'Br', 0.00018868494143219422)
('bin', 96, 'DS', 0.0, 'H2O', 0.03496960914543333, 'Na', 0.00037736988286438843, 'Br', 0.00037736988286438843)
('bin', 97, 'DS', 0.0, 'H2O', 0.032076440043473015, 'Na', 0.0007547397657287769, 'Br', 0.0)
('bin', 98, 'DS', 0.0, 'H2O', 0.033837499496840166, 'Na', 0.0007547397657287769, 'Br', 0.00037736988286438843)
('bin', 99, 'DS', 0.0, 'H2O', 0.03496960914543333, 'Na', 0.0009434247071609711, 'Br', 0.00037736988286438843)
('bin', 100, 'DS', 0.0, 'H2O', 0.031070120355834646, 'Na', 0.0013207945900253594, 'Br', 0.00018868494143219422)
('bin', 101, 'DS', 0.0, 'H2O', 0.03522118906734292, 'Na', 0.00037736988286438843, 'Br', 0.0)
('bin', 102, 'DS', 0.0, 'H2O', 0.03301986475063399, 'Na', 0.0, 'Br', 0.0)
('bin', 103, 'DS', 0.0, 'H2O', 0.03641619369641348, 'Na', 0.00037736988286438843, 'Br', 0.00018868494143219422)
('bin', 104, 'DS', 0.0, 'H2O', 0.034214869379704554, 'Na', 0.0007547397657287769, 'Br', 0.0)
('bin', 105, 'DS', 0.0, 'H2O', 0.03295696977015659, 'Na', 0.00037736988286438843, 'Br', 0.00018868494143219422)
('bin', 106, 'DS', 0.0, 'H2O', 0.033837499496840166, 'Na', 0.00018868494143219422, 'Br', 0.00018868494143219422)
('bin', 107, 'DS', 0.0, 'H2O', 0.03396328945779496, 'Na', 0.0009434247071609711, 'Br', 0.00037736988286438843)
('bin', 108, 'DS', 0.0, 'H2O', 0.0326424948677696, 'Na', 0.0007547397657287769, 'Br', 0.00037736988286438843)
('bin', 109, 'DS', 4.492498605528433e-06, 'H2O', 0.03459223926256894, 'Na', 0.0009434247071609711, 'Br', 0.00018868494143219422)
('bin', 110, 'DS', 2.2462493027642166e-05, 'H2O', 0.03239091494586001, 'Na', 0.0007547397657287769, 'Br', 0.0)
('bin', 111, 'DS', 7.187997768845493e-05, 'H2O', 0.03465513424304634, 'Na', 0.00037736988286438843, 'Br', 0.00018868494143219422)
('bin', 112, 'DS', 0.00019766993864325108, 'H2O', 0.032705389848246995, 'Na', 0.0009434247071609711, 'Br', 0.00018868494143219422)
('bin', 113, 'DS', 0.0003234598995980472, 'H2O', 0.02899458600008051, 'Na', 0.0009434247071609711, 'Br', 0.0)
('bin', 114, 'DS', 0.0005166373396357698, 'H2O', 0.02836563619530653, 'Na', 0.0013207945900253594, 'Br', 0.0)
('bin', 115, 'DS', 0.0006828597880403219, 'H2O', 0.020692448577063965, 'Na', 0.0007547397657287769, 'Br', 0.0)
('bin', 116, 'DS', 0.0010826921639323524, 'H2O', 0.017862174455581054, 'Na', 0.002075534355754136, 'Br', 0.0)
('bin', 117, 'DS', 0.0010826921639323524, 'H2O', 0.018176649357968044, 'Na', 0.0009434247071609711, 'Br', 0.0)
('bin', 118, 'DS', 0.0013118095928143026, 'H2O', 0.013270840880730994, 'Na', 0.0005660548242965826, 'Br', 0.0)
('bin', 119, 'DS', 0.0013387645844474732, 'H2O', 0.008050557501106953, 'Na', 0.00037736988286438843, 'Br', 0.0)
('bin', 120, 'DS', 0.0014645545454022692, 'H2O', 0.005346073340578836, 'Na', 0.00018868494143219422, 'Br', 0.0)
('bin', 121, 'DS', 0.001482524539824383, 'H2O', 0.0023900092581411268, 'Na', 0.0, 'Br', 0.0)
('bin', 122, 'DS', 0.0015588970161183665, 'H2O', 0.00037736988286438843, 'Na', 0.0, 'Br', 0.0)
('bin', 123, 'DS', 0.0013747045732917006, 'H2O', 0.00012578996095479614, 'Na', 0.0, 'Br', 0.0)
('bin', 124, 'DS', 0.0013073170942087741, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 125, 'DS', 0.0011186321527765798, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 126, 'DS', 0.001141094645804222, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 127, 'DS', 0.0008805297266835729, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 128, 'DS', 0.000736769771306663, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 129, 'DS', 0.0005615623256910541, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 130, 'DS', 0.0003324448968091041, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 131, 'DS', 0.00020665493585430794, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 132, 'DS', 4.492498605528433e-05, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 133, 'DS', 2.2462493027642166e-05, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 134, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 135, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 136, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 137, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 138, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 139, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 140, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 141, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 142, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 143, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
